index,series,season,story,title,doctor,image,collected,url,watched,cover,available
105,Doctor Who,17,105,City of Death,Tom Baker,True,True,http://en.wikipedia.org/wiki/City_of_Death,False,105,True
106,Doctor Who,17,106,The Creature from the Pit,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Creature_from_the_Pit,False,106,True
107,Doctor Who,17,107,Nightmare of Eden,Tom Baker,True,True,http://en.wikipedia.org/wiki/Nightmare_of_Eden,False,107,True
108,Doctor Who,17,108a,The Horns of Nimon,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Horns_of_Nimon,False,108a,True
109,Doctor Who,17,108b,Shada,Tom Baker,True,True,https://en.wikipedia.org/wiki/Shada_(Doctor_Who),False,108b,True
110,Doctor Who,18,109,The Leisure Hive,Tom Baker,True,False,http://en.wikipedia.org/wiki/The_Leisure_Hive,False,109,True
111,Doctor Who,18,110,Meglos,Tom Baker,True,True,http://en.wikipedia.org/wiki/Meglos,False,110,True
112,Doctor Who,18,111,Full Circle,Tom Baker,True,False,http://en.wikipedia.org/wiki/Full_Circle_(Doctor_Who),False,111,True
113,Doctor Who,18,112,State of Decay,Tom Baker,True,False,http://en.wikipedia.org/wiki/State_of_Decay,False,112,True
114,Doctor Who,18,113,Warriors' Gate,Tom Baker,True,False,http://en.wikipedia.org/wiki/Warriors%27_Gate,False,113,True
115,Doctor Who,18,114,The Keeper of Traken,Tom Baker,True,True,http://en.wikipedia.org/wiki/The_Keeper_of_Traken,False,114,True
116,Doctor Who,18,115,Logopolis,Tom Baker,True,True,http://en.wikipedia.org/wiki/Logopolis,False,115,True
117,Doctor Who,19,116,Castrovalva,Peter Davison,True,True,http://en.wikipedia.org/wiki/Castrovalva_(Doctor_Who),False,116,True
118,Doctor Who,19,117,Four to Doomsday,Peter Davison,True,True,http://en.wikipedia.org/wiki/Four_to_Doomsday,False,117,True
119,Doctor Who,19,118,Kinda,Peter Davison,True,True,http://en.wikipedia.org/wiki/Kinda_(Doctor_Who),False,118,True
120,Doctor Who,19,119,The Visitation,Peter Davison,True,True,http://en.wikipedia.org/wiki/The_Visitation_(Doctor_Who),False,119,True
121,Doctor Who,19,120,Black Orchid,Peter Davison,True,True,http://en.wikipedia.org/wiki/Black_Orchid_(Doctor_Who),False,120,True
122,Doctor Who,19,121,Earthshock,Peter Davison,True,True,http://en.wikipedia.org/wiki/Earthshock,False,121,True
123,Doctor Who,19,122,Time-Flight,Peter Davison,True,True,http://en.wikipedia.org/wiki/Time-Flight,False,122,True
124,Doctor Who,20,123,Arc of Infinity,Peter Davison,True,True,http://en.wikipedia.org/wiki/Arc_of_Infinity,False,123,True
125,Doctor Who,20,124,Snakedance,Peter Davison,True,True,http://en.wikipedia.org/wiki/Snakedance,False,124,True
126,Doctor Who,20,125,Mawdryn Undead,Peter Davison,True,False,http://en.wikipedia.org/wiki/Mawdryn_Undead,False,125,True
127,Doctor Who,20,126,Terminus,Peter Davison,True,False,http://en.wikipedia.org/wiki/Terminus_(Doctor_Who),False,126,True
128,Doctor Who,20,127,Enlightenment,Peter Davison,True,False,http://en.wikipedia.org/wiki/Enlightenment_(Doctor_Who),False,127,True
129,Doctor Who,20,128,The King's Demons,Peter Davison,True,False,http://en.wikipedia.org/wiki/The_King%27s_Demons,False,128,True
130,Doctor Who,20,129,The Five Doctors,Peter Davison,True,True,https://en.wikipedia.org/wiki/The_Five_Doctors,False,129,True
131,Doctor Who,21,130,Warriors of the Deep,Peter Davison,True,False,http://en.wikipedia.org/wiki/Warriors_of_the_Deep,False,130,True
132,Doctor Who,21,131,The Awakening,Peter Davison,True,True,http://en.wikipedia.org/wiki/The_Awakening_(Doctor_Who),False,131,True
133,Doctor Who,21,132,Frontios,Peter Davison,True,False,http://en.wikipedia.org/wiki/Frontios,False,132,True
134,Doctor Who,21,133,Resurrection of the Daleks,Peter Davison,True,True,http://en.wikipedia.org/wiki/Resurrection_of_the_Daleks,False,133,True
135,Doctor Who,21,134,Planet of Fire,Peter Davison,True,False,http://en.wikipedia.org/wiki/Planet_of_Fire,False,134,True
136,Doctor Who,21,135,The Caves of Androzani,Peter Davison,True,False,http://en.wikipedia.org/wiki/The_Caves_of_Androzani,False,135,True
137,Doctor Who,21,136,The Twin Dilemma,Colin Baker,True,False,http://en.wikipedia.org/wiki/The_Twin_Dilemma,False,136,True
138,Doctor Who,22,137,Attack of the Cybermen,Colin Baker,True,True,http://en.wikipedia.org/wiki/Attack_of_the_Cybermen,False,137,True
139,Doctor Who,22,138,Vengeance on Varos,Colin Baker,True,True,http://en.wikipedia.org/wiki/Vengeance_on_Varos,False,138,True
140,Doctor Who,22,139,The Mark of the Rani,Colin Baker,True,False,http://en.wikipedia.org/wiki/The_Mark_of_the_Rani,False,139,True
141,Doctor Who,22,140,The Two Doctors,Colin Baker,True,True,http://en.wikipedia.org/wiki/The_Two_Doctors,False,140,True
142,Doctor Who,22,141,Timelash,Colin Baker,True,False,http://en.wikipedia.org/wiki/Timelash,False,141,True
143,Doctor Who,22,142,Revelation of the Daleks,Colin Baker,True,True,http://en.wikipedia.org/wiki/Revelation_of_the_Daleks,False,142,True
144,Doctor Who,23,143a,The Mysterious Planet - Episodes 1-4,Colin Baker,True,True,http://en.wikipedia.org/wiki/The_Mysterious_Planet,False,143a,True
145,Doctor Who,23,143b,Mindwarp - Episodes 5-8,Colin Baker,True,True,http://en.wikipedia.org/wiki/Mindwarp,False,143b,True
146,Doctor Who,23,143c,Terror of the Vervoids - Episodes 9-12,Colin Baker,True,True,http://en.wikipedia.org/wiki/Terror_of_the_Vervoids,False,143c,True
147,Doctor Who,23,143d,The Ultimate Foe - Episodes 13-14,Colin Baker,True,True,http://en.wikipedia.org/wiki/The_Ultimate_Foe,False,143d,True
148,Doctor Who,24,144,Time and the Rani,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Time_and_the_Rani,False,144,True
149,Doctor Who,24,145,Paradise Towers,Sylvester McCoy,True,False,http://en.wikipedia.org/wiki/Paradise_Towers,False,145,True
150,Doctor Who,24,146,Delta and the Bannermen,Sylvester McCoy,True,False,http://en.wikipedia.org/wiki/Delta_and_the_Bannermen,False,146,True
151,Doctor Who,24,147,Dragonfire,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Dragonfire_(Doctor_Who),False,147,True
152,Doctor Who,25,148,Remembrance of the Daleks,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Remembrance_of_the_Daleks,False,148,True
153,Doctor Who,25,149,The Happiness Patrol,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/The_Happiness_Patrol,False,149,True
154,Doctor Who,25,150,Silver Nemesis,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Silver_Nemesis,False,150,True
155,Doctor Who,25,151,The Greatest Show in the Galaxy,Sylvester McCoy,True,False,http://en.wikipedia.org/wiki/The_Greatest_Show_in_the_Galaxy,False,151,True
156,Doctor Who,26,152,Battlefield,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Battlefield_(Doctor_Who),False,152,True
157,Doctor Who,26,153,Ghost Light,Sylvester McCoy,True,False,http://en.wikipedia.org/wiki/Ghost_Light_(Doctor_Who),False,153,True
158,Doctor Who,26,154,The Curse of Fenric,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/The_Curse_of_Fenric,False,154,True
159,Doctor Who,26,155,Survival,Sylvester McCoy,True,True,http://en.wikipedia.org/wiki/Survival_(Doctor_Who),False,155,True
160,Doctor Who,27,156,Doctor Who,Paul McGann,True,True,http://en.wikipedia.org/wiki/Doctor_Who_(1996_film),False,156,True
161,Doctor Who,28,157,Rose,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Rose_(Doctor_Who),False,157,True
162,Doctor Who,28,158,The End of the World,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_End_of_the_World_(Doctor_Who),False,157,True
163,Doctor Who,28,159,The Unquiet Dead,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_Unquiet_Dead,False,157,True
164,Doctor Who,28,160a,Aliens of London,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Aliens_of_London,False,160,True
165,Doctor Who,28,160b,World War Three,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/World_War_Three_(Doctor_Who),False,160,True
166,Doctor Who,28,161,Dalek,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Dalek_(Doctor_Who_episode),False,160,True
167,Doctor Who,28,162,The Long Game,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_Long_Game,False,162,True
168,Doctor Who,28,163,Father's Day,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Father%27s_Day_(Doctor_Who),False,162,True
169,Doctor Who,28,164a,The Empty Child,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_Empty_Child,False,162,True
170,Doctor Who,28,164b,The Doctor Dances,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_Doctor_Dances,False,162,True
171,Doctor Who,28,165,Boom Town,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Boom_Town_(Doctor_Who),False,165,True
172,Doctor Who,28,166a,Bad Wolf,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/Bad_Wolf,False,165,True
173,Doctor Who,28,166b,The Parting of the Ways,Christopher Eccleston,False,True,http://en.wikipedia.org/wiki/The_Parting_of_the_Ways,False,165,True
174,Doctor Who,28,167,The Christmas Invasion,David Tennant,False,True,http://en.wikipedia.org/wiki/The_Christmas_Invasion,False,167,True
175,Doctor Who,29,168,New Earth,David Tennant,False,True,http://en.wikipedia.org/wiki/New_Earth,False,167,True
176,Doctor Who,29,169,Tooth and Claw,David Tennant,False,True,http://en.wikipedia.org/wiki/Tooth_and_Claw_(Doctor_Who),False,169,True
177,Doctor Who,29,170,School Reunion,David Tennant,False,True,http://en.wikipedia.org/wiki/School_Reunion_(Doctor_Who),False,169,True
178,Doctor Who,29,171,The Girl in the Fireplace,David Tennant,False,True,http://en.wikipedia.org/wiki/The_Girl_in_the_Fireplace,False,169,True
179,Doctor Who,29,172a,Rise of the Cybermen,David Tennant,False,True,http://en.wikipedia.org/wiki/Rise_of_the_Cybermen,False,172,True
180,Doctor Who,29,172b,The Age of Steel,David Tennant,False,True,http://en.wikipedia.org/wiki/The_Age_of_Steel,False,172,True
